Cluster 0: 
Ashes In the Fall; The Battle Of Los Angeles; ['Rage Against The Machine']; 
Breath of Your Life; Do It for Love; ['Daryl Hall & John Oates']; 
Love Loves You Too; Dart To The Heart; ['Bruce Cockburn']; 
Carbon; Scarlet's Walk; ['Tori Amos']; 
wampum prayer; Scarlet's Walk; ['Tori Amos']; 
Sweet Sangria; Scarlet's Walk; ['Tori Amos']; 
Feel This Way; Waste Of Mind; ['zebrahead']; 
Big Shot; Waste Of Mind; ['zebrahead']; 
Going Once; To The Teeth; ['Ani DiFranco']; 
Joyful Girl; Dilate; ['Ani DiFranco']; 
Falling Is Like This; Out Of Range; ['Ani DiFranco']; 
The Diner; Out Of Range; ['Ani DiFranco']; 
If It Isn't Her; Imperfectly; ['Ani DiFranco']; 
Make Them Apologize; Imperfectly; ['Ani DiFranco']; 
Face The Truth; "Perhaps;  I Suppose"; 
Human Race; The Jesus Experience; ['Bride']; 
Blow It All Away; This Is It; ['Bride']; 
Revolution; This Is It; ['Bride']; 
Moments; Westlife; ['Westlife']; 
Can't Stop Loving You; Ampendectomy; ['Resurrection Band']; 
Sally Cinnamon; The Complete Stone Roses; ['The Stone Roses']; 
Johnny B. Goode - Live; Johnny Winter: A Rock N' Roll Collection; ['Johnny Winter']; 
Bony Moronie - Live; Johnny Winter: A Rock N' Roll Collection; ['Johnny Winter']; 
Walkin' Thru the Park; Johnny Winter: A Rock N' Roll Collection; ['Johnny Winter']; 
I'm Not Sure; Johnny Winter: A Rock N' Roll Collection; ['Johnny Winter']; 
Nest; We Apologise For Any Inconvenience; ['Zorras']; 
If; We Apologise For Any Inconvenience; ['Zorras']; 
Flow/Growing Older; We Apologise For Any Inconvenience; ['Zorras']; 
All Tore Down; Still Alive And Well; ['Johnny Winter']; 
Rock & Roll; Still Alive And Well; ['Johnny Winter']; 
Let It Bleed; Still Alive And Well; ['Johnny Winter']; 
Lucillie; Still Alive And Well; ['Johnny Winter']; 
Another Plane Went Down; Whole New You; ['Shawn Colvin']; 
I Left the Grounds; Small Planes; ['The Innocence Mission']; 
In the Bleak Mid-Winter; Holiday Songs And Lullabies; ['Shawn Colvin']; 
Evening Is A Little Boy / The Night Will Never Stay; Holiday Songs And Lullabies; ['Shawn Colvin']; 
Climb On (A Back That's Strong); Fat City; ['Shawn Colvin']; 
Change Of Heart; Greatest Hits; ['The Judds']; 
Crystal Blip; Pickpocket's Locket; ['Frog Eyes']; 
Lowdown Hoedown; El Rauncho Grundge; ['Too Slim and the Taildraggers']; 
Disillusion; Disillusion; ['Badly Drawn Boy']; 
Magical Forest; Shooting Star; ['Reflected Illusions']; 
Erowid Kid; Shooting Star; ['Reflected Illusions']; 
Begin; I Hope You're Sitting Down; ['Lambchop']; 
"Bon Soir;  Bon Soir"; I Hope You're Sitting Down; 
Breathe Deep; I Hope You're Sitting Down; ['Lambchop']; 
Title and Registration; Transatlanticism; ['Death Cab for Cutie']; 
Transatlanticism; Transatlanticism; ['Death Cab for Cutie']; 
Death of an Interior Decorator; Transatlanticism; ['Death Cab for Cutie']; 
We Looked Like Giants; Transatlanticism; ['Death Cab for Cutie']; 
A Lack of Color; Transatlanticism; ['Death Cab for Cutie']; 
Calls; Calls; ['Norman Cooper']; 
Easy Like Spring; Rooftops; ['Peter Kater']; 
You're Not the One (I Was Looking For); Mirrors; ['Blue Öyster Cult']; 
Don't Let Me Cross Over; Sister Sadie; ['Sister Sadie']; 
Ava's Fury; Sister Sadie; ['Sister Sadie']; 
Get A Life; Ultimate Alternative Wavers; ['Built To Spill']; 
"Piano Sonata No. 2 in B-Flat Minor;  Op. 35 ""Funeral March"": II. Scherzo"; "Favorite Chopin; 
Good Noise; Out Of The Valley; ['John Gorka']; 
Flying Red Horse; Out Of The Valley; ['John Gorka']; 
Airstream Bohemians; Between Five And Seven; ['John Gorka']; 
Taylor Made; Rain Maiden; ['Wind Machine']; 
Rain Maiden; Rain Maiden; ['Wind Machine']; 
Back At Linda's; Rain Maiden; ['Wind Machine']; 
Lost; Spaced Out; ['Reflected Illusions']; 
Ego Death; Spaced Out; ['Reflected Illusions']; 
You Each Time; Educated Guess; ['Ani DiFranco']; 
"Prelude in D Major;  BWV 532"; 30th Anniversary Sampler; 
Ride Into the Sun; Drowning By Proxy; ['Full Catastrophe Living']; 
I Know; Annunciation; ['The Subdudes']; 
Esta Noche Voy a Verla; Con El Mariachi Vargas De Tecalitlan (with El Mariachi Vargas de Tecalitlán); ['Juan Gabriel']; 
Que Sea Mi Condena; Con El Mariachi Vargas De Tecalitlan (with El Mariachi Vargas de Tecalitlán); ['Juan Gabriel']; 
Si Dios Me Ayuda; Con El Mariachi Vargas De Tecalitlan (with El Mariachi Vargas de Tecalitlán); ['Juan Gabriel']; 
Sonyprostitutes; Generation Starwars; ['Alec Empire']; 
The Dreamin' Kind; Songs From The Grass String Ranch; ['The Kentucky Headhunters']; 
By The Side Of The Road; Baptizing; ['The Seldom Scene']; 
The Door; The Best Of - Volume One; ['Silverchair']; 
Wasted / Fix Me; The Best Of - Volume One; ['Silverchair']; 
Snowswept; Terminal Twilight; ['White Willow']; 
Lorna; Sick'em; ['7 Year Bitch']; 
Don't Mix the Colors; Kill Rock Stars; ['Courtney Love']; 
Take Me to Your Leader; Enjoy Incubus; ['Incubus']; 
Version; Enjoy Incubus; ['Incubus']; 
Hidden Bonus; Enjoy Incubus; ['Incubus']; 
The South's Gonna Do It Again; A Decade Of Hits; ['The Charlie Daniels Band']; 
Uneasy Rider; A Decade Of Hits; ['The Charlie Daniels Band']; 
Long Haired Country Boy; A Decade Of Hits; ['The Charlie Daniels Band']; 
The Legend Of Wooley Swamp; A Decade Of Hits; ['The Charlie Daniels Band']; 
Simple; Stories I Could Tell; ['Rebecca Hickman']; 
More Lost Without You; A Valid Path; ['Alan Parsons']; 
Mammagamma 04; A Valid Path; ['Alan Parsons']; 
L’Arc en Ciel; A Valid Path; ['Alan Parsons']; 
You Can Run; A Valid Path; ['Alan Parsons']; 
With You - Live; Ozzfest 2001 The Second Millennium; ['Linkin Park']; 

Cluster 1: 
Guerrilla Radio; The Battle Of Los Angeles; ['Rage Against The Machine']; 
Sleep Now In the Fire; The Battle Of Los Angeles; ['Rage Against The Machine']; 
Maria; The Battle Of Los Angeles; ['Rage Against The Machine']; 
Voice of the Voiceless; The Battle Of Los Angeles; ['Rage Against The Machine']; 
New Millennium Homes; The Battle Of Los Angeles; ['Rage Against The Machine']; 
Know Your Enemy; Rage Against The Machine; ['Rage Against The Machine']; 
Someday We'll Know; Do It for Love; ['Daryl Hall & John Oates']; 
Your Game; Fridays Child; ['Will Young']; 
Love Is A Matter Of Distance; Fridays Child; ['Will Young']; 
Free; Fridays Child; ['Will Young']; 
Tie Me At The Crossroads; Dart To The Heart; ['Bruce Cockburn']; 
Rosemary; Rosaryville; ['Kate Campbell']; 
Jag Off; Waste Of Mind; ['zebrahead']; 
Bootylicious Vinyl; Waste Of Mind; ['zebrahead']; 
Soft Shoulder; To The Teeth; ['Ani DiFranco']; 
Swing; To The Teeth; ['Ani DiFranco']; 
Napoleon; Dilate; ['Ani DiFranco']; 
Shameless (Bathtub Mix); More Joy Less Shame; ['Ani DiFranco']; 
Buildings and Bridges; Out Of Range; ['Ani DiFranco']; 
Dipshit; "Perhaps;  I Suppose"; 
Floating Back; Live Under the Red Moon; ['The Call']; 
Family; Live Under the Red Moon; ['The Call']; 
Microphone; This Is It; ['Bride']; 
Short Time In the Grave; This Is It; ['Bride']; 
Get It While It's Hot - AB Experience/Flyte Tyme Productions Remix; Nodesha; "['Nodesha'; 
Missed Opportunity; Ooh Yeah!; ['Daryl Hall & John Oates']; 
Swear It Again - Radio Edit; Westlife; ['Westlife']; 
Mandy; Turnaround; ['Westlife']; 
Home; Turnaround; ['Westlife']; 
What Do They Know?; Turnaround; ['Westlife']; 
ラムのラブソング; Himesama Spirits; ['Mahousyoujoninaritai']; 
When You Got A Good Friend; Johnny Winter: A Rock N' Roll Collection; ['Johnny Winter']; 
TV Mama; Johnny Winter: A Rock N' Roll Collection; ['Johnny Winter']; 
After Going Out; We Apologise For Any Inconvenience; ['Zorras']; 
Can't You Feel It; Still Alive And Well; ['Johnny Winter']; 
Anywhere You Go; Whole New You; ['Shawn Colvin']; 
Bound To You; Whole New You; ['Shawn Colvin']; 
Today; Small Planes; ['The Innocence Mission']; 
Asia; Martin Rev; ['Martin Rev']; 
Last Christmas; Last Christmas; ['Lucy Dacus']; 
Tenderness On The Block; Fat City; ['Shawn Colvin']; 
Monopoly; Fat City; ['Shawn Colvin']; 
Kill The Messenger; Fat City; ['Shawn Colvin']; 
Mama He's Crazy; Greatest Hits; ['The Judds']; 
Joe with the Jam; Pickpocket's Locket; ['Frog Eyes']; 
The Beat Is Down (Four Wretched Singers Beyond Any World That You Have Known); Pickpocket's Locket; ['Frog Eyes']; 
Sick And Tired Of Being Sick And Tired; El Rauncho Grundge; ['Too Slim and the Taildraggers']; 
Good Love Charm; El Rauncho Grundge; ['Too Slim and the Taildraggers']; 
Space and Time; Shooting Star; ['Reflected Illusions']; 
God Finds Us; God Finds Us; ['Jason Upton']; 
Tiny Vessels; Transatlanticism; ['Death Cab for Cutie']; 
Redemption; "Furthermore: From the Studio;  From the Stage"; 
Crazy Times - Live From The Eleventh Hour Tour; "Furthermore: From the Studio;  From the Stage"; 
I Need You - Live From The Eleventh Hour Tour; "Furthermore: From the Studio;  From the Stage"; 
I Did My Best; Let Your Dim Light Shine; ['Soul Asylum']; 
Torn; Left Of The Middle; ['Natalie Imbruglia']; 
Big Mistake; Left Of The Middle; ['Natalie Imbruglia']; 
Smoke; Left Of The Middle; ['Natalie Imbruglia']; 
Don't You Think?; Left Of The Middle; "['Natalie Imbruglia'; 
Fire Escape; Rooftops; ['Peter Kater']; 
Moon Crazy; Mirrors; ['Blue Öyster Cult']; 
I Am the Storm; Mirrors; ['Blue Öyster Cult']; 
Revolution; Ultimate Alternative Wavers; ['Built To Spill']; 
Built Too Long; Ultimate Alternative Wavers; ['Built To Spill']; 
"Piano Sonata No. 2 in B-Flat Minor;  Op. 35 ""Funeral March"": IV. Finale. Presto"; "Favorite Chopin; 
Talk About Love; Out Of The Valley; ['John Gorka']; 
Bigtime Lonesome; Out Of The Valley; ['John Gorka']; 
Edgar The Party Man; Between Five And Seven; ['John Gorka']; 
Daybreak; Rain Maiden; ['Wind Machine']; 
Land of the Redwoods; Rain Maiden; ['Wind Machine']; 
Ethan's Peace; Rain Maiden; ['Wind Machine']; 
"Prelude on the name B-A-C-H;  S260/R381"; 30th Anniversary Sampler; 
"Call Me;  Tell Me"; Greatest Hits; 
Angel; Greatest Hits; ['Pure Prairie League']; 
Recall; Drowning By Proxy; ['Full Catastrophe Living']; 
(You'll Be) Satisfied; Annunciation; ['The Subdudes']; 
Save Me; Annunciation; ['The Subdudes']; 
Fountains Flow; Annunciation; ['The Subdudes']; 
Cold Nights; Annunciation; ['The Subdudes']; 
Lash the Nineties; Generation Starwars; ['Alec Empire']; 
Love That Woman; Songs From The Grass String Ranch; ['The Kentucky Headhunters']; 
He Took Your Place; Baptizing; ['The Seldom Scene']; 
Anthem for the Year 2000; The Best Of - Volume One; ['Silverchair']; 
Freak; The Best Of - Volume One; ['Silverchair']; 
Tomorrow; The Best Of - Volume One; ['Silverchair']; 
Punk Song 2; The Best Of - Volume One; ['Silverchair']; 
I Still Miss Someone; Great Big Boy; ['Leo Kottke']; 
8-Ball Deluxe; Kill Rock Stars; ['7 Year Bitch']; 
Hilikus; Enjoy Incubus; ['Incubus']; 
Let Me Ride; Seven Turns; ['Allman Brothers Band']; 
Shine It On; Seven Turns; ['Allman Brothers Band']; 
True Gravity; Seven Turns; ['Allman Brothers Band']; 
Across the Pond; Stories I Could Tell; ['Rebecca Hickman']; 

Cluster 2: 
Calm Like a Bomb; The Battle Of Los Angeles; ['Rage Against The Machine']; 
Born As Ghosts; The Battle Of Los Angeles; ['Rage Against The Machine']; 
Make You Stay; Do It for Love; ['Daryl Hall & John Oates']; 
Intuition; Do It for Love; ['Daryl Hall & John Oates']; 
Dance The Night Away; Fridays Child; ['Will Young']; 
Bone In My Ear; Dart To The Heart; ['Bruce Cockburn']; 
Closer to the Light; Dart To The Heart; ['Bruce Cockburn']; 
To the Teeth; To The Teeth; ['Ani DiFranco']; 
I Know This Bar; To The Teeth; ['Ani DiFranco']; 
Untouchable Face; Dilate; ['Ani DiFranco']; 
Superhero; Dilate; ['Ani DiFranco']; 
Joyful Girl (Danger and Uncertainty Mix); More Joy Less Shame; ['Ani DiFranco']; 
How Have You Been; Out Of Range; ['Ani DiFranco']; 
If He Tries Anything; Out Of Range; ['Ani DiFranco']; 
Raining in September; "Perhaps;  I Suppose"; 
Selfishness; "Perhaps;  I Suppose"; 
Out of Touch - Video Mix; Big Bam Boom; ['Daryl Hall & John Oates']; 
Cold Dark and Yesterday; Big Bam Boom; ['Daryl Hall & John Oates']; 
I Love You; The Jesus Experience; ['Bride']; 
The Worm; The Jesus Experience; ['Bride']; 
The World I Know; The Jesus Experience; ['Bride']; 
Same Old Story; Live Under the Red Moon; ['The Call']; 
To the Sky; This Is It; ['Bride']; 
White Elephant; This Is It; ['Bride']; 
Sugar Buddy; Nodesha; ['Nodesha']; 
Kinda Guy I Like; Nodesha; ['Nodesha']; 
Seasons in the Sun; Westlife; ['Westlife']; 
Miss You; Westlife; ['Westlife']; 
Hey Whatever; Turnaround; ['Westlife']; 
Heal; Turnaround; ['Westlife']; 
Rain Dance; Ampendectomy; ['Resurrection Band']; 
Against the Wind; Highwayman; "['The Highwaymen'; 
Tell Me; The Complete Stone Roses; ['The Stone Roses']; 
Mersey Paradise; The Complete Stone Roses; ['The Stone Roses']; 
sayonara fantasy; Himesama Spirits; ['Mahousyoujoninaritai']; 
In the Details 2; We Apologise For Any Inconvenience; ['Zorras']; 
Bonefields; Whole New You; ['Shawn Colvin']; 
Song About Traveling; Small Planes; ['The Innocence Mission']; 
Silent Night; Holiday Songs And Lullabies; ['Shawn Colvin']; 
The Christ Child's Lullaby; Holiday Songs And Lullabies; ['Shawn Colvin']; 
